,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
404,0.538,0.423,4,-9.986,1,0.031,0.827,0.0,0.107,0.88,164.754,audio_features,20aorkzugOSwPcXGZf9eCv,spotify:track:20aorkzugOSwPcXGZf9eCv,https://api.spotify.com/v1/tracks/20aorkzugOSwPcXGZf9eCv,https://api.spotify.com/v1/audio-analysis/20aorkzugOSwPcXGZf9eCv,166200,4
405,0.819,0.439,7,-11.729,1,0.0358,0.737,0.000522,0.102,0.909,105.082,audio_features,3N0jGYbGjlfxAPPOQ3m1x5,spotify:track:3N0jGYbGjlfxAPPOQ3m1x5,https://api.spotify.com/v1/tracks/3N0jGYbGjlfxAPPOQ3m1x5,https://api.spotify.com/v1/audio-analysis/3N0jGYbGjlfxAPPOQ3m1x5,173933,4
406,0.596,0.144,2,-10.307,1,0.0298,0.924,0.0,0.219,0.451,115.681,audio_features,39AxeDwNIyjPKgI7g9H2Jg,spotify:track:39AxeDwNIyjPKgI7g9H2Jg,https://api.spotify.com/v1/tracks/39AxeDwNIyjPKgI7g9H2Jg,https://api.spotify.com/v1/audio-analysis/39AxeDwNIyjPKgI7g9H2Jg,164520,4
407,0.522,0.256,3,-7.39,1,0.0309,0.923,0.0,0.359,0.64,114.96,audio_features,0VxX3RBKO46Ky6XgvN0bME,spotify:track:0VxX3RBKO46Ky6XgvN0bME,https://api.spotify.com/v1/tracks/0VxX3RBKO46Ky6XgvN0bME,https://api.spotify.com/v1/audio-analysis/0VxX3RBKO46Ky6XgvN0bME,146667,4
408,0.467,0.531,4,-14.288,1,0.0387,0.448,0.0,0.358,0.954,136.154,audio_features,2FjF4NEH5vw69RjnPKCnM0,spotify:track:2FjF4NEH5vw69RjnPKCnM0,https://api.spotify.com/v1/tracks/2FjF4NEH5vw69RjnPKCnM0,https://api.spotify.com/v1/audio-analysis/2FjF4NEH5vw69RjnPKCnM0,131800,4
409,0.572,0.923,0,-4.169,0,0.0629,0.0139,0.0,0.197,0.433,112.501,audio_features,4XPefX4QY9EWhrwLL528Fc,spotify:track:4XPefX4QY9EWhrwLL528Fc,https://api.spotify.com/v1/tracks/4XPefX4QY9EWhrwLL528Fc,https://api.spotify.com/v1/audio-analysis/4XPefX4QY9EWhrwLL528Fc,196281,4
410,0.524,0.643,9,-6.055,1,0.0297,0.451,0.0,0.221,0.397,135.962,audio_features,0rCFRyEy4WXjRXNpO80Dzs,spotify:track:0rCFRyEy4WXjRXNpO80Dzs,https://api.spotify.com/v1/tracks/0rCFRyEy4WXjRXNpO80Dzs,https://api.spotify.com/v1/audio-analysis/0rCFRyEy4WXjRXNpO80Dzs,232059,4
411,0.353,0.77,1,-11.066,0,0.0493,0.0016,0.598,0.109,0.224,145.225,audio_features,7MSWxMumjz6lHj7oRApNbg,spotify:track:7MSWxMumjz6lHj7oRApNbg,https://api.spotify.com/v1/tracks/7MSWxMumjz6lHj7oRApNbg,https://api.spotify.com/v1/audio-analysis/7MSWxMumjz6lHj7oRApNbg,267893,4
412,0.482,0.691,0,-4.616,1,0.0328,0.0278,0.0,0.048,0.364,75.932,audio_features,2n6YMK1vCr5xkDVJ7MdQHw,spotify:track:2n6YMK1vCr5xkDVJ7MdQHw,https://api.spotify.com/v1/tracks/2n6YMK1vCr5xkDVJ7MdQHw,https://api.spotify.com/v1/audio-analysis/2n6YMK1vCr5xkDVJ7MdQHw,180137,4
413,0.62,0.706,3,-4.176,1,0.0251,0.0755,7.78e-06,0.185,0.591,81.989,audio_features,72kGuWpRiuA149Bn5lDkIO,spotify:track:72kGuWpRiuA149Bn5lDkIO,https://api.spotify.com/v1/tracks/72kGuWpRiuA149Bn5lDkIO,https://api.spotify.com/v1/audio-analysis/72kGuWpRiuA149Bn5lDkIO,188483,4
